mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.04599828720092773,0.004195871801722202,0.2675906181335449,0.029731755455946366,9,1,"{'n_neighbors': 9, 'p': 1}",-369.3593018305662,-360.8636756890372,-361.8071794449251,-372.761957730812,-382.5643032724975,-369.4712835935676,7.938484071219051,5,-328.2882077479779,-328.5393166618602,-327.6873309163817,-327.4349448632912,-328.02391546162403,-327.994743130227,0.3978465048311572
0.04519567489624023,0.005421426884691273,0.33054404258728026,0.05601956685515584,9,2,"{'n_neighbors': 9, 'p': 2}",-409.2814787349456,-407.4484131888655,-402.9535011466788,-413.8914980980239,-418.07609277798383,-410.3301967892996,5.224976489136686,50,-363.95022933575024,-363.4638246886115,-363.63556901358163,-360.9751129512902,-365.0582643266181,-363.41660006317034,1.340959256532772
0.04161977767944336,0.00046110776977895866,0.26839594841003417,0.03897814451166112,10,1,"{'n_neighbors': 10, 'p': 1}",-371.02614015572857,-363.12895810159443,-360.974156470152,-373.7225435669262,-382.1169694722532,-370.1937535533309,7.618669298718503,7,-333.20480472129526,-333.87443455691505,-332.03970152020764,-332.35991224817695,-332.5847546656779,-332.81272154245454,0.6535332972222173
0.04763970375061035,0.00735195648982582,0.35741801261901857,0.070791367390485,10,2,"{'n_neighbors': 10, 'p': 2}",-410.1683846248919,-408.95537016438016,-404.98914843653444,-414.7717711036955,-421.2164998146088,-412.02023482882214,5.556998506490802,54,-368.93553639846743,-369.32684773204795,-369.14958286985546,-366.7186658015079,-371.19766716104317,-369.06565999258436,1.4245020557112549
0.043980646133422854,0.002307573738913555,0.32660226821899413,0.09335299109020664,11,1,"{'n_neighbors': 11, 'p': 1}",-372.16161616161617,-364.73982314805454,-361.97979797979804,-374.78735070392474,-384.50925270502574,-371.63556813968387,7.95898750484854,8,-337.81738688329347,-338.32872945247806,-336.47025314322315,-336.0860383591195,-337.00291569757644,-337.1410647071381,0.830676005602817
0.050566816329956056,0.006413096074778383,0.3845621109008789,0.0907343087101278,11,2,"{'n_neighbors': 11, 'p': 2}",-411.97676430601905,-410.4893315805441,-405.45518589678767,-415.8638105189829,-423.14879608094293,-413.3867776766554,5.911449480040015,58,-374.36744811856045,-374.88844507365087,-374.04041527623286,-372.563667823957,-375.65154885900154,-374.30230503028054,1.0256420681916398
0.06941032409667969,0.021057733562934396,0.42844767570495607,0.13437471446100074,12,1,"{'n_neighbors': 12, 'p': 1}",-372.84283978082647,-365.6229555473159,-362.2848123429325,-375.9222593004573,-384.89529518394926,-372.31363243109627,7.961694234919111,10,-342.11030259959625,-341.983286470564,-340.7423165657315,-339.9564742718247,-341.10414349276977,-341.17930468009723,0.8006329832185339
0.04639067649841309,0.006088552746761056,0.34339265823364257,0.029290399941172607,12,2,"{'n_neighbors': 12, 'p': 2}",-413.4070263255469,-411.3617702797346,-406.73617805792446,-417.5785543608124,-423.91980801713845,-414.6006674082314,5.8220205904012525,60,-378.75003347340663,-378.9797511638446,-378.43896768013843,-377.3401104107445,-378.56791754212503,-378.4153560540518,0.5675449805900705
0.04920048713684082,0.010530978200619233,0.30881762504577637,0.04574937572914453,13,1,"{'n_neighbors': 13, 'p': 1}",-373.9128661475714,-368.89947044674517,-364.09183042887156,-375.96384396718094,-387.35801412775834,-374.0452050236255,7.829148425928836,11,-345.39321230617116,-344.7866171339475,-344.26812792941826,-343.50011171006724,-344.2694423053155,-344.443502276984,0.6278082098661404
0.043380355834960936,0.0007632868929344954,0.3506025314331055,0.021199264884458828,13,2,"{'n_neighbors': 13, 'p': 2}",-416.17707234058736,-416.1031345369499,-408.461757128053,-418.75303993991423,-427.06423091183933,-417.31184697146875,5.970909799041976,61,-383.326324120818,-382.9811685348393,-383.2356488215776,-381.18446659631314,-382.9364132036546,-382.73280425544056,0.788112861719372
